text,created_at,sentiment,polarity
Quick and fair settlement of my insurance claim.,2025-03-22 15:03:40,positive,0.5166666666666666
"They keep asking for more documents, exhausting.",2025-03-14 15:03:40,neutral,0.04999999999999999
Received my payout without any hassle.,2025-03-20 15:03:40,neutral,0.0
"Terrible customer service, won’t use this insurer again.",2025-03-17 15:03:40,negative,-1.0
Insurance agent scheduled a visit for tomorrow.,2025-03-16 15:03:40,neutral,0.0
Need to provide more documents for my claim.,2025-03-22 15:03:40,positive,0.5
Helpful staff guided me through the claim process easily.,2025-03-22 15:03:40,positive,0.43333333333333335
"Refused to cover legitimate damage, disgraceful.",2025-03-16 15:03:40,neutral,0.0
"Spoke with an agent, waiting for response.",2025-03-21 15:03:40,neutral,0.0
Customer service exceeded expectations.,2025-03-23 15:03:40,neutral,0.0
"Terrible customer service, won’t use this insurer again.",2025-03-19 15:03:40,negative,-1.0
My insurance claim was processed quickly and smoothly.,2025-03-19 15:03:40,positive,0.3666666666666667
"Excellent service, very happy with the support team.",2025-03-22 15:03:40,positive,1.0
Very professional and responsive insurance agents.,2025-03-14 15:03:40,positive,0.13
Quick and fair settlement of my insurance claim.,2025-03-18 15:03:40,positive,0.5166666666666666
"Terrible customer service, won’t use this insurer again.",2025-03-14 15:03:40,negative,-1.0
Insurance agent scheduled a visit for tomorrow.,2025-03-16 15:03:40,neutral,0.0
Helpful staff guided me through the claim process easily.,2025-03-14 15:03:40,positive,0.43333333333333335
Helpful staff guided me through the claim process easily.,2025-03-15 15:03:40,positive,0.43333333333333335
My insurance claim was processed quickly and smoothly.,2025-03-20 15:03:40,positive,0.3666666666666667
"Fast and efficient, great experience overall.",2025-03-22 15:03:40,positive,0.3333333333333333
Helpful staff guided me through the claim process easily.,2025-03-23 15:03:40,positive,0.43333333333333335
Very professional and responsive insurance agents.,2025-03-24 15:03:40,positive,0.13
Received an update on my insurance status.,2025-03-24 15:03:40,neutral,0.0
Absolutely disgusted by the treatment I received.,2025-03-17 15:03:40,negative,-1.0
Very professional and responsive insurance agents.,2025-03-17 15:03:40,positive,0.13
Quick and fair settlement of my insurance claim.,2025-03-15 15:03:40,positive,0.5166666666666666
Got an email from insurance company.,2025-03-14 15:03:40,neutral,0.0
Received an update on my insurance status.,2025-03-22 15:03:40,neutral,0.0
Talking to my insurer about the next steps.,2025-03-14 15:03:40,neutral,0.0
